model,num_uavs,seed,pdr,latency_ms,hops,topology_changes_per_s,mean_link_reliability,mean_sinr_db,energy_mj_per_packet,throughput_pkt_s
binary,30,1004,0.9333333333333333,20.37636224694911,2.4166666666666665,21.333333333333332,1.0,99.0,0.0,5.6
binary,30,1005,0.9722222222222222,20.47670656151056,2.422857142857143,20.5,1.0,99.0,0.0,5.833333333333333
binary,30,1006,0.9444444444444444,21.502317294608055,2.6705882352941175,19.266666666666666,1.0,99.0,0.0,5.666666666666667
binary,30,1007,1.0,22.078226430976752,2.783333333333333,20.033333333333335,1.0,99.0,0.0,6.0
binary,30,1008,0.9888888888888889,19.956762844959737,2.3146067415730336,19.833333333333332,1.0,99.0,0.0,5.933333333333334
binary,30,1009,0.9555555555555556,20.904259064170944,2.5232558139534884,16.566666666666666,1.0,99.0,0.0,5.733333333333333
binary,30,1010,0.9555555555555556,22.713655626098564,2.9186046511627906,16.766666666666666,1.0,99.0,0.0,5.733333333333333
binary,30,1011,0.9388888888888889,20.868695474886792,2.514792899408284,20.766666666666666,1.0,99.0,0.0,5.633333333333334
binary,30,1012,0.95,20.83311951042446,2.52046783625731,21.033333333333335,1.0,99.0,0.0,5.7
binary,30,1013,0.9666666666666667,19.681789814607413,2.2701149425287355,21.333333333333332,1.0,99.0,0.0,5.8
binary,30,1014,0.9888888888888889,20.007495978027105,2.337078651685393,20.733333333333334,1.0,99.0,0.0,5.933333333333334
binary,30,1015,0.9333333333333333,20.761150838127985,2.5,20.666666666666668,1.0,99.0,0.0,5.6
binary,30,1016,0.9777777777777777,19.764452482920536,2.2954545454545454,21.1,1.0,99.0,0.0,5.866666666666666
binary,30,1017,0.9833333333333333,20.68917704514404,2.468926553672316,20.2,1.0,99.0,0.0,5.9
binary,30,1018,0.9833333333333333,21.33075658802397,2.6045197740112993,19.266666666666666,1.0,99.0,0.0,5.9
binary,30,1019,0.9666666666666667,22.300856230050783,2.839080459770115,17.833333333333332,1.0,99.0,0.0,5.8
binary,30,1020,0.9944444444444445,20.67709109077002,2.4916201117318435,22.633333333333333,1.0,99.0,0.0,5.966666666666667
binary,30,1021,1.0,21.4455933923203,2.661111111111111,19.5,1.0,99.0,0.0,6.0
binary,30,1022,0.9666666666666667,21.087165084856732,2.586206896551724,17.1,1.0,99.0,0.0,5.8
binary,30,1023,1.0,21.318582570583395,2.6444444444444444,21.5,1.0,99.0,0.0,6.0
binary,30,1024,0.9888888888888889,21.21916547755365,2.601123595505618,20.166666666666668,1.0,99.0,0.0,5.933333333333334
binary,30,1025,0.9166666666666666,20.049181742493825,2.327272727272727,20.633333333333333,1.0,99.0,0.0,5.5
binary,30,1026,1.0,20.93667676358085,2.5277777777777777,18.233333333333334,1.0,99.0,0.0,6.0
binary,30,1027,1.0,20.151738337400847,2.3333333333333335,21.566666666666666,1.0,99.0,0.0,6.0
binary,30,1028,1.0,22.301848889093772,2.8333333333333335,15.6,1.0,99.0,0.0,6.0
